molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
92093,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC)c4C3=O)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,,,0,414.5,2.87,8.493596179409838,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Kappa-type opioid receptor, Mu-type opioid receptor",B,8,0,3,17,0.1764705882352941,O=C1c2ccccc2N[C@]12CCN1CCCC[C@H]12,1,0.944,True
159510,C=C(C)CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)C[C@@]3(O)C1C5,,,0,443.54,3.09,6.362062049205427,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,3,1.0,O=C1[C@@H]2Oc3cccc4c3C23CCNC(C4)C3CC12Cc1ccccc1C2,1,1.0,True
280211,CC1(C)OC23CCC4(CC2C1(C)C)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)C3O5,,,0,435.61,4.81,9.096910013008056,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)N(CC2CC2)CCC316,1,0.944,True
280679,CC1C2CC34CCC2(OC1(C)C)C1Oc2c(O)ccc5c2C13CCN(C)C4C5,,,0,381.52,3.64,8.356547323513812,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)NCCC316,1,0.944,True
279574,C[C@H]1CO[C@@]23CCC4(C[C@@H]12)[C@H]1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,9.154901959985745,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)[C@H](C2)C42CC[C@@]13OCC[C@@H]3C2,1,0.944,True
280245,C[C@@H]1CO[C@@]23CCC4(C[C@H]12)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,8.920818753952375,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)C(C2)C42CC[C@@]13OCC[C@H]3C2,1,0.944,True
341625,C1=C2CN3CC[C@]45c6ccccc6N6[C@@H]7OCC=C8CN9CC[C@]%10%11c%12ccccc%12N([C@H](OC1)[C@@H]([C@H]64)[C@H]2C[C@H]35)[C@H]%10[C@H]7[C@H]8C[C@H]9%11,CARACURINE V,,0,584.76,4.27,6.359995853468939,SINGLE PROTEIN,Homo sapiens,Muscarinic acetylcholine receptor M2,B,9,0,1,1,1.0,C1=C2CN3CC[C@]45c6ccccc6N6[C@@H]7OCC=C8CN9CC[C@]%10%11c%12ccccc%12N([C@H](OC1)[C@@H]([C@H]64)[C@H]2C[C@H]35)[C@H]%10[C@H]7[C@H]8C[C@H]9%11,1,0.944,True
377156,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,STRYCHNINE,,0,334.42,2.09,7.112484004520329,SINGLE PROTEIN,Homo sapiens,"Glycine receptor subunit alpha-1, Taste receptor type 2 member 46",B,9,0,2,15,0.1333333333333333,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,1,0.944,True
388365,C1=C2CN3CC[C@@H]4[C@@H]5[C@H]([C@@H](OC1)N1c6ccccc6[C@@]67CCN8CC9=CCO[C@H]([C@@H]([C@H]16)[C@H]9C[C@H]87)N5c1ccccc1)[C@H]2C[C@@H]43,,,0,586.78,4.63,5.8459617493136005,SINGLE PROTEIN,Homo sapiens,"Neuronal acetylcholine receptor subunit alpha-7, 5-hydroxytryptamine receptor 3A",B,9,0,2,7,0.2857142857142857,C1=C2CN3CC[C@@H]4[C@@H]5[C@H]([C@@H](OC1)N1c6ccccc6[C@@]67CCN8CC9=CCO[C@H]([C@@H]([C@H]16)[C@H]9C[C@H]87)N5c1ccccc1)[C@H]2C[C@@H]43,1,0.944,True
388366,C[N+]12CC[C@@H]3[C@@H]4[C@@H]5[C@@H](OCC=C(C1)[C@@H]5C[C@@H]32)N1c2ccccc2[C@@]23CC[N+]5(C)CC6=CCO[C@H]([C@@H]([C@H]12)[C@H]6C[C@@H]35)N4c1ccccc1.[I-].[I-],,,0,870.66,4.92,6.2659953077789305,SINGLE PROTEIN,Homo sapiens,Neuronal acetylcholine receptor subunit alpha-7,B,9,0,1,10,0.1,C1=C2C[NH+]3CC[C@@H]4[C@@H]5[C@H]([C@@H](OC1)N1c6ccccc6[C@@]67CC[NH+]8CC9=CCO[C@H]([C@@H]([C@H]16)[C@H]9C[C@H]87)N5c1ccccc1)[C@H]2C[C@@H]43,1,0.944,True
