scaffold_group,n_compounds,MW_median,MW_mean,LogP_median,TPSA_median,HBD_median,HBA_median,RotB_median,Fsp3_median,RingCount_median,HeavyAtomCount_median,QED_median,UMAP_center_x,UMAP_center_y,UMAP_within_scaffold_dispersion
S1,25652,436.51900000000023,442.566863633502,3.779690000000002,79.38000000000001,1.0,5.0,5.0,0.3333333333333333,5.0,31.0,0.5629520460040974,4.8417673,8.2661705,6.0870123
S2,758,488.5290000000002,495.518288918206,3.757700000000003,90.46000000000001,2.0,5.0,4.0,0.4074074074074074,5.0,35.0,0.48674809739595143,1.0627191,3.3853388,13.009777
S3,464,533.451,505.8410474137932,4.229500000000003,90.46000000000001,3.0,4.0,4.0,0.4444444444444444,5.0,36.0,0.4645537189023777,1.9996744,-1.8479266,12.261214
S4,9466,442.47500000000014,447.97022067584356,3.6354500000000023,87.38999999999999,2.0,5.0,5.0,0.2857142857142857,5.0,32.0,0.515183030351188,5.1359367,6.9562497,8.993059
S5,2893,458.3890000000002,467.25866800429964,3.8975000000000026,72.86,1.0,5.0,4.0,0.48148148148148145,5.0,33.0,0.6187000436999719,4.6533165,4.621051,9.788321
S6,47,438.5060000000003,502.67723404255344,4.301180000000003,70.0,2.0,5.0,2.0,0.30434782608695654,7.0,32.0,0.6144482281821225,8.775888,8.962064,11.304701
S7,81,429.35000000000025,478.6182962962965,3.0866000000000016,51.660000000000004,0.0,5.0,3.0,0.5333333333333333,7.0,31.0,0.5921503935236099,4.681466,3.717216,16.863188
S8,15,354.45700000000016,401.44440000000026,3.8309000000000024,65.12,1.0,4.0,3.0,0.36363636363636365,5.0,27.0,0.7341727815557757,6.6285925,6.9075994,10.663566
S9,4,509.49300000000017,504.9955000000002,4.477700000000002,79.165,2.5,4.5,3.0,0.39285714285714285,6.0,36.0,0.5328535824633844,6.9665365,10.188142,18.407911
S10,63,363.84100000000007,390.4596031746033,1.5439000000000014,70.0,2.0,5.0,2.0,0.631578947368421,5.0,26.0,0.7065636675083199,14.8748045,10.741231,11.983352
