molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
70506,O=C(NCCCOP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O)Oc1ccc2c(c1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21,,,0,835.49,0.99,6.72584215073632,SINGLE PROTEIN,Homo sapiens,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3",B,8,0,1,1,1.0,O=C(NCCCO[PH](=O)OC1CCCCC1)Oc1ccc2c(c1)Oc1ccccc1C21OC(=O)c2ccccc21,1,0.947,True
134966,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,FLUORESCEIN,1976.0,0,332.31,3.67,6.042201225070002,SINGLE PROTEIN,Homo sapiens,Cytochrome P450 2C19,B,8,1,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1,0.947,True
159510,C=C(C)CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)C[C@@]3(O)C1C5,,,0,443.54,3.09,6.362062049205427,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,3,1.0,O=C1[C@@H]2Oc3cccc4c3C23CCNC(C4)C3CC12Cc1ccccc1C2,1,0.947,True
280211,CC1(C)OC23CCC4(CC2C1(C)C)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)C3O5,,,0,435.61,4.81,9.096910013008056,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)N(CC2CC2)CCC316,1,0.947,True
279574,C[C@H]1CO[C@@]23CCC4(C[C@@H]12)[C@H]1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,9.154901959985745,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)[C@H](C2)C42CC[C@@]13OCC[C@@H]3C2,1,0.947,True
280245,C[C@@H]1CO[C@@]23CCC4(C[C@H]12)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)[C@H]3O5,,,0,393.53,3.64,8.920818753952375,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@@H]1C34CCN(CC3CC3)C(C2)C42CC[C@@]13OCC[C@H]3C2,1,0.947,True
280679,CC1C2CC34CCC2(OC1(C)C)C1Oc2c(O)ccc5c2C13CCN(C)C4C5,,,0,381.52,3.64,8.356547323513812,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)OC1C45CCC6(CC4CCO5)C(C2)NCCC316,1,0.947,True
381918,CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(C)(=O)=O)cc2)C(=O)c2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Oc3cc(O)ccc32)cc1,,,0,785.85,5.17,6.008773924307505,SINGLE PROTEIN,Homo sapiens,Voltage-gated inwardly rectifying potassium channel KCNH2,B,9,0,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccc(C(=O)N(CCOc3ccccc3)CCc3ccccc3)cc21,0,0.947,True
381930,CS(=O)(=O)Nc1ccc(CCN(CCCCCCNC(=O)c2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Cc3cc(O)ccc32)CCOc2ccc(NS(C)(=O)=O)cc2)cc1,,,0,883.06,6.12,7.823908740944319,SINGLE PROTEIN,Homo sapiens,Voltage-gated inwardly rectifying potassium channel KCNH2,B,9,0,1,1,1.0,O=C(NCCCCCCN(CCOc1ccccc1)CCc1ccccc1)c1ccc2c(c1)C(=O)OC21c2ccccc2Cc2ccccc21,0,0.947,True
418976,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)C[C@@]3(O)[C@H]1C5,SPIROINDANYLOXYMORPHONE,,0,403.48,2.14,7.852713607685777,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,5,0.6,O=C1[C@@H]2Oc3cccc4c3[C@@]23CCN[C@H](C4)C3CC12Cc1ccccc1C2,1,0.947,True
428535,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br,EOSIN,,0,647.9,6.72,6.0,SINGLE PROTEIN,Homo sapiens,Protein arginine N-methyltransferase 1,B,9,0,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,0,0.947,True
502608,C=C[C@]12CN(C)[C@@H]3[C@H]4CO[C@H](C[C@H]41)[C@]1(C(=O)Nc4ccccc41)[C@@H]32,GELSEMINE,,0,322.41,2.03,6.229147988357856,SINGLE PROTEIN,Homo sapiens,Glycine receptor subunit alpha-1,B,9,0,1,1,1.0,O=C1Nc2ccccc2[C@]12[C@@H]1C3CN[C@@H]1[C@H]1CO[C@@H]2C[C@@H]31,1,1.0,True
609121,Oc1ccc2c3c1O[C@H]1C4(CC[C@@]5(O)[C@@H](C2)N(CC2CC2)CC[C@]315)Oc1ccccc1O4,,,0,433.5,3.12,8.05395269865476,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Mu-type opioid receptor",B,8,0,2,2,1.0,c1ccc2c(c1)OC1(CCC3[C@H]4Cc5cccc6c5[C@@]3(CCN4CC3CC3)[C@H]1O6)O2,1,0.947,True
609124,O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)CC12Cc1ccccc1C2,,,0,443.54,2.92,8.198529817528115,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,4,0.75,O=C1[C@@H]2Oc3cccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)C3CC12Cc1ccccc1C2,1,0.947,True
649801,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(O)cc(C=O)c(C=O)c1O2,,,0,386.49,3.92,6.214670164989233,SINGLE PROTEIN,Homo sapiens,"Beta-galactoside alpha-2,6-sialyltransferase 1",B,9,0,1,1,1.0,c1ccc2c(c1)C[C@]1(CCC[C@H]3CCCCC31)O2,1,0.947,True
706568,CCOc1ccc2c(c1)Oc1cc(OCC)ccc1C21OC(=O)c2ccccc21,DIETHOXYFLOURESCEIN,,0,388.42,5.05,6.0,SINGLE PROTEIN,Homo sapiens,Cytochrome P450 3A4,A,9,0,1,1,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1,0.947,True
724254,O=C1Nc2ccc(Br)cc2C12NNc1ccccc1O2,,,0,332.16,2.56,6.346296626330954,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme, Alkaline phosphatase, germ cell type",B,9,0,2,6,0.3333333333333333,O=C1Nc2ccccc2C12NNc1ccccc1O2,1,1.0,True
756500,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,ERYTHROSINE,,0,835.89,6.08,6.797939075968737,SINGLE PROTEIN,Homo sapiens,Flavin reductase (NADPH),B,9,0,1,2,0.5,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,0,0.947,True
806327,CCCCN1C(=O)C2(NNc3ccccc3O2)c2ccccc21,,,0,309.37,3.0,6.709965388637482,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme",B,9,0,1,1,1.0,O=C1Nc2ccccc2C12NNc1ccccc1O2,1,1.0,True
903548,O=C1Nc2ccc([N+](=O)[O-])cc2C12NNc1ccccc1O2,,,0,298.26,1.71,6.522878745280337,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme",B,9,0,1,1,1.0,O=C1Nc2ccccc2C12NNc1ccccc1O2,1,1.0,True
929082,C=CCN1C(=O)C2(NNc3ccccc3O2)c2ccccc21,,,0,293.33,2.38,6.350127942915589,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme, Alkaline phosphatase, germ cell type",B,9,0,2,3,0.6666666666666666,O=C1Nc2ccccc2C12NNc1ccccc1O2,1,1.0,True
955487,CCN1C(=O)C2(NNc3ccccc3O2)c2ccccc21,,,0,281.31,2.21,6.616184634019569,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme",B,9,0,1,1,1.0,O=C1Nc2ccccc2C12NNc1ccccc1O2,1,1.0,True
1030838,O=C1N(Cc2ccccc2)c2ccccc2C12NNc1ccccc1O2,,,0,343.39,3.4,6.130768280269024,SINGLE PROTEIN,Homo sapiens,"Alkaline phosphatase, tissue-nonspecific isozyme",B,9,0,1,1,1.0,O=C1N(Cc2ccccc2)c2ccccc2C12NNc1ccccc1O2,1,1.0,True
1148542,CCCCCN1C(=O)C2(CCCc3cc4c(cc32)OCO4)c2ccccc21,,,0,363.46,4.57,5.8297382846050425,SINGLE PROTEIN,Homo sapiens,Sodium channel protein type 9 subunit alpha,B,9,0,1,1,1.0,O=C1Nc2ccccc2C12CCCc1cc3c(cc12)OCO3,1,1.0,True
1148539,CCCCCN1C(=O)C2(CCC(=O)c3cc4c(cc32)OCO4)c2ccccc21,,,0,377.44,4.21,5.742321425130816,SINGLE PROTEIN,Homo sapiens,Sodium channel protein type 9 subunit alpha,B,9,0,1,1,1.0,O=C1CCC2(C(=O)Nc3ccccc32)c2cc3c(cc21)OCO3,1,1.0,True
1382639,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@]24CC[C@@]3(C[C@@H]2C(C)(C)C(C)(C)O4)C1C5,,,0,395.54,4.03,8.356547323513812,SINGLE PROTEIN,Homo sapiens,Delta-type opioid receptor,B,8,0,1,1,1.0,c1cc2c3c(c1)O[C@H]1[C@@]45CC[C@@]6(C[C@@H]4CCO5)C(C2)NCC[C@]316,1,0.947,True
1382755,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@]24CC[C@@]3(C[C@H]2C(C)(C)C(C)(C)O4)C1C5,,,0,395.54,4.03,8.040612984469577,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Mu-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,4,0.75,c1cc2c3c(c1)O[C@H]1[C@@]45CC[C@@]6(C[C@H]4CCO5)C(C2)NCC[C@]316,1,0.947,True
1443641,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@]2(CC[C@@]3(O)[C@H]1C5)O[C@H]1N3[C@H](OC1(C)C)C(C)(C)O[C@@H]32,,,0,470.57,1.84,8.221848749616356,SINGLE PROTEIN,Homo sapiens,Mu-type opioid receptor,F,9,0,1,1,1.0,c1cc2c3c(c1)O[C@H]1[C@]4(CCC5[C@@H](C2)NCC[C@@]351)O[C@@H]1CO[C@@H]2CO[C@H]4N21,1,0.947,True
